序号,产品名称,标题后缀,规格数组,规格单位,进货价,sku实拍图数组,视频链接,到货状态(能上或者不能上),尺码图
1,卫生间收纳柜,A026,"[""3"", ""4"", ""5""]",层,"[""80"", ""100"", ""116""]","[""https://miaoshou-tuchuang-beimeng.oss-cn-hangzhou.aliyuncs.com/A026-1.png"",""https://miaoshou-tuchuang-beimeng.oss-cn-hangzhou.aliyuncs.com/A026-2.png"",""https://miaoshou-tuchuang-beimeng.oss-cn-hangzhou.aliyuncs.com/A026-3.png""]",https://miaoshou-tuchuang-beimeng.oss-cn-hangzhou.aliyuncs.com/A026.mp4,1,https://miaoshou-tuchuang-beimeng.oss-cn-hangzhou.aliyuncs.com/A026.png
2,带轮子的滚动洗衣篮,A045/A046,"[""中号"", ""大号""]",规格,"[""35"",""32""]","[""https://miaoshou-tuchuang-beimeng.oss-cn-hangzhou.aliyuncs.com/A045.png"",""https://miaoshou-tuchuang-beimeng.oss-cn-hangzhou.aliyuncs.com/A046.png""]",https://miaoshou-tuchuang-beimeng.oss-cn-hangzhou.aliyuncs.com/A045.mp4,1,https://miaoshou-tuchuang-beimeng.oss-cn-hangzhou.aliyuncs.com/A045.png
3,三层晾衣架(单管）,A057型号,"[""蓝"", ""粉"", ""灰"", ""黑""]",颜色/款式,39,"[""https://miaoshou-tuchuang-beimeng.oss-cn-hangzhou.aliyuncs.com/A057-1.png"",""https://miaoshou-tuchuang-beimeng.oss-cn-hangzhou.aliyuncs.com/A057-2.png"",""https://miaoshou-tuchuang-beimeng.oss-cn-hangzhou.aliyuncs.com/A057-3.png"",""https://miaoshou-tuchuang-beimeng.oss-cn-hangzhou.aliyuncs.com/A057-4.png""]",https://miaoshou-tuchuang-beimeng.oss-cn-hangzhou.aliyuncs.com/A057.mp4,1,https://miaoshou-tuchuang-beimeng.oss-cn-hangzhou.aliyuncs.com/A057.png
4,马桶刷 黑色,A061型号 B022,"[""有托盘带侧杆"", ""有托盘不带侧杆"", ""无托盘带侧杆"", ""全包托盘带侧杆""]",规格,50,"[""https://miaoshou-tuchuang-beimeng.oss-cn-hangzhou.aliyuncs.com/A061-1.png""，""https://miaoshou-tuchuang-beimeng.oss-cn-hangzhou.aliyuncs.com/A061-2.png"",""https://miaoshou-tuchuang-beimeng.oss-cn-hangzhou.aliyuncs.com/A061-3.png"",""https://miaoshou-tuchuang-beimeng.oss-cn-hangzhou.aliyuncs.com/A061-4.png""]",https://miaoshou-tuchuang-beimeng.oss-cn-hangzhou.aliyuncs.com/A061.mp4,1,https://miaoshou-tuchuang-beimeng.oss-cn-hangzhou.aliyuncs.com/A061.png
5,15cm（大号）方形猫砂盆,A055,"[""15"", ""17.5""]",cm,中号70,"[""https://miaoshou-tuchuang-beimeng.oss-cn-hangzhou.aliyuncs.com/A055-1.jpg"",""https://miaoshou-tuchuang-beimeng.oss-cn-hangzhou.aliyuncs.com/A055-2.jpg""]",https://miaoshou-tuchuang-beimeng.oss-cn-hangzhou.aliyuncs.com/A055.mp4,1,https://miaoshou-tuchuang-beimeng.oss-cn-hangzhou.aliyuncs.com/A055.jpg
6,注水式提壶哑铃,A064,"[""粉"", ""蓝"", ""玫红""]",颜色/款式,30,"[""https://miaoshou-tuchuang-beimeng.oss-cn-hangzhou.aliyuncs.com/A064-1.png"",""https://miaoshou-tuchuang-beimeng.oss-cn-hangzhou.aliyuncs.com/A064-2.png"",""https://miaoshou-tuchuang-beimeng.oss-cn-hangzhou.aliyuncs.com/A064-3.png""]",https://miaoshou-tuchuang-beimeng.oss-cn-hangzhou.aliyuncs.com/A064.mp4,1,https://miaoshou-tuchuang-beimeng.oss-cn-hangzhou.aliyuncs.com/A064.jpg
7,太空人垃圾桶,A065,"[""站姿黑色"", ""红色"", ""奶白色""]",颜色/款式,36,"[""https://miaoshou-tuchuang-beimeng.oss-cn-hangzhou.aliyuncs.com/A065-1.png"",""https://miaoshou-tuchuang-beimeng.oss-cn-hangzhou.aliyuncs.com/A065-2.png"",""https://miaoshou-tuchuang-beimeng.oss-cn-hangzhou.aliyuncs.com/A065-3.png""]",https://miaoshou-tuchuang-beimeng.oss-cn-hangzhou.aliyuncs.com/A065.mp4,1,https://miaoshou-tuchuang-beimeng.oss-cn-hangzhou.aliyuncs.com/A065.jpg
8,车载储物箱,A066,["凳子款全黑"],颜色/款式,93,["https://miaoshou-tuchuang-beimeng.oss-cn-hangzhou.aliyuncs.com/A066.png"],https://miaoshou-tuchuang-beimeng.oss-cn-hangzhou.aliyuncs.com/A066.mp4,1,https://miaoshou-tuchuang-beimeng.oss-cn-hangzhou.aliyuncs.com/A066.jpg
9,车载储水箱,A067,"[""白色"", ""绿色"", ""黑色""]",颜色/款式,72,"[""https://miaoshou-tuchuang-beimeng.oss-cn-hangzhou.aliyuncs.com/A067-1.png"",""https://miaoshou-tuchuang-beimeng.oss-cn-hangzhou.aliyuncs.com/A067-2.png"",""https://miaoshou-tuchuang-beimeng.oss-cn-hangzhou.aliyuncs.com/A067-3.png""]",https://miaoshou-tuchuang-beimeng.oss-cn-hangzhou.aliyuncs.com/A067.png,1,https://miaoshou-tuchuang-beimeng.oss-cn-hangzhou.aliyuncs.com/A067.mp4
10,户外便携式帐篷,A068,"[""流沙金两门两窗版中号"", ""流沙金两门两窗版大号带防潮垫""]",颜色/款式,86,"[""https://miaoshou-tuchuang-beimeng.oss-cn-hangzhou.aliyuncs.com/A068-1.png"",""https://miaoshou-tuchuang-beimeng.oss-cn-hangzhou.aliyuncs.com/A068-2.png""]",https://miaoshou-tuchuang-beimeng.oss-cn-hangzhou.aliyuncs.com/A068.mp4,1,https://miaoshou-tuchuang-beimeng.oss-cn-hangzhou.aliyuncs.com/A068.png
